Title,Price,Location,Surface,Number_of_Rooms,Floor,Finishing_Condition,Heating,Parking_Space,Balcony_Garden_Terrace,Link,Voivodeship,City
Właściciel- Ludwiki DD - WIDOK NA ZIELEŃ - 2x gar,2499000.0,"ul. Ludwiki, Czyste, Wola, Warszawa, mazowieckie",105.0,4 ,2/8,do wykończenia,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/wlasciciel-ludwiki-dd-widok-na-zielen-2x-gar-ID4mYBj,Mazowieckie,Warszawa
Mieszkanie 2 pokojowe przy ul. Rosoła,610000.0,"ul. Jana Rosoła, Natolin, Ursynów, Warszawa, mazowieckie",42.0,2 ,8/12,do remontu,,,balkon,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-przy-ul-rosola-ID4nWlw,Mazowieckie,Warszawa
"3 pokoje Apartament Ursynów, ul. Polki 1",999999.0,"Pyry, Ursynów, Warszawa, mazowieckie",63.95,3 ,1/3,do zamieszkania,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/3-pokoje-apartament-ursynow-ul-polki-1-ID4nLYC,Mazowieckie,Warszawa
"Bezpośrednio 2 pokoje 37,8m2 Ursus, ul. Keniga",522000.0,"Niedźwiadek, Ursus, Warszawa, mazowieckie",37.8,2 ,parter/4,do remontu,miejskie,,,https://www.otodom.pl/pl/oferta/bezposrednio-2-pokoje-37-8m2-ursus-ul-keniga-ID4nWlr,Mazowieckie,Warszawa
"Osiedle Wilno, mieszkanie 65 m2, 3-pokojowe",900000.0,"ul. Montwiłłowska 4, Elsnerów, Targówek, Warszawa, mazowieckie",64.64,3 ,2/3,do zamieszkania,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/osiedle-wilno-mieszkanie-65-m2-3-pokojowe-ID4nx0O,Mazowieckie,Warszawa
"Mieszkanie, 28,12 m², Warszawa",560000.0,"ul. Karola Dickensa, Szczęśliwice, Ochota, Warszawa, mazowieckie",28.12,1 ,2/7,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-28-12-m-warszawa-ID4nWlh,Mazowieckie,Warszawa
Wspaniała lokalizacja w sercu Ochoty-bezpośrednio!,636000.0,"ul. Grójecka, Stara Ochota, Ochota, Warszawa, mazowieckie",37.0,2 ,2/14,do zamieszkania,miejskie,,balkon,https://www.otodom.pl/pl/oferta/wspaniala-lokalizacja-w-sercu-ochoty-bezposrednio-ID4nWjS,Mazowieckie,Warszawa
"Mieszkanie, 38,56 m², Warszawa",675000.0,"Saska Kępa, Praga-Południe, Warszawa, mazowieckie",38.56,2 ,3/10,,miejskie,,balkon,https://www.otodom.pl/pl/oferta/mieszkanie-38-56-m-warszawa-ID4nWjH,Mazowieckie,Warszawa
"Apartament z widokiem na Wisłe, obok Elektrowni",2500000.0,"ul. Wybrzeże Kościuszkowskie, Powiśle, Śródmieście, Warszawa, mazowieckie",78.0,2 ,1/5,do zamieszkania,,garaż/miejsce parkingowe,taras,https://www.otodom.pl/pl/oferta/apartament-z-widokiem-na-wisle-obok-elektrowni-ID4nSAF,Mazowieckie,Warszawa
"Wyjątkowy apartament przy Nowym Świecie,ul.Okólnik",5490000.0,"ul. Okólnik, Śródmieście Północne, Śródmieście, Warszawa, mazowieckie",190.0,4 ,4/6,do zamieszkania,,,,https://www.otodom.pl/pl/oferta/wyjatkowy-apartament-przy-nowym-swiecie-ul-okolnik-ID4nSAH,Mazowieckie,Warszawa
"EXCLUSIVE 3 pokoje, Loggia, BEZPOŚREDNIO!",1267000.0,"ul. Sarmacka, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie",65.0,3 ,2/4,do zamieszkania,miejskie,,balkon,https://www.otodom.pl/pl/oferta/exclusive-3-pokoje-loggia-bezposrednio-ID4nJc7,Mazowieckie,Warszawa
Trzy pokoje na Bielanach - możliwy kredyt 2%,649900.0,"ul. Wrzeciono, Wrzeciono, Bielany, Warszawa, mazowieckie",53.5,3 ,parter/4,do remontu,miejskie,,,https://www.otodom.pl/pl/oferta/trzy-pokoje-na-bielanach-mozliwy-kredyt-2-ID4nWj0,Mazowieckie,Warszawa
Rozkładowe 2 pokoje z widną kuchnią pod KREDYT 2%,690000.0,"ul. Posag 7 Panien 16, Szamoty, Ursus, Warszawa, mazowieckie",41.95,2 ,3/7,do zamieszkania,miejskie,,balkon,https://www.otodom.pl/pl/oferta/rozkladowe-2-pokoje-z-widna-kuchnia-pod-kredyt-2-ID47IzE,Mazowieckie,Warszawa
Idealne pod kredyt 2% | Dwa balkony | Top widok,739000.0,"ul. Sienna, Mirów, Wola, Warszawa, mazowieckie",37.0,2 ,7/9,do zamieszkania,,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/idealne-pod-kredyt-2-dwa-balkony-top-widok-ID4nO5D,Mazowieckie,Warszawa
"3 pokoje z ogródkiem, Żoliborz, Przasnyska",1550000.0,"ul. Przasnyska, Sady Żoliborskie, Żoliborz, Warszawa, mazowieckie",64.0,3 ,parter/6,do zamieszkania,miejskie,garaż/miejsce parkingowe,"ogródek, taras",https://www.otodom.pl/pl/oferta/3-pokoje-z-ogrodkiem-zoliborz-przasnyska-ID4nWiL,Mazowieckie,Warszawa
"Mieszkanie 42,5 m2 z komórką i miejscem garażowym",700000.0,"ul. gen. Felicjana Sławoja Składkowskiego, Skorosze, Ursus, Warszawa, mazowieckie",42.5,3 ,4/6,do zamieszkania,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/mieszkanie-42-5-m2-z-komorka-i-miejscem-garazowym-ID4nWiM,Mazowieckie,Warszawa
Dywizjonu * 2 Balkony * Garaż * Rozkładowe * Kw,1095000.0,"Górce, Bemowo, Warszawa, mazowieckie",69.1,3 ,1/3,do zamieszkania,,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/dywizjonu-2-balkony-garaz-rozkladowe-kw-ID4nWiP,Mazowieckie,Warszawa
Mieszkanie w Otoczeniu 3 Parków - Zielona Okolica,579000.0,"Wierzbno, Mokotów, Warszawa, mazowieckie",36.3,2 ,parter/12,,miejskie,,,https://www.otodom.pl/pl/oferta/mieszkanie-w-otoczeniu-3-parkow-zielona-okolica-ID4nWiQ,Mazowieckie,Warszawa
3-pokojowe mieszkanie Żoliborz / bezpośrednio,1500000.0,"ul. Ludwika Rydygiera, Sady Żoliborskie, Żoliborz, Warszawa, mazowieckie",64.8,3 ,1/14,,,garaż/miejsce parkingowe,,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-zoliborz-bezposrednio-ID4nvZR,Mazowieckie,Warszawa
"Apartament w paryskim stylu, Centrum",1950000.0,"ul. Poznańska, Śródmieście Południowe, Śródmieście, Warszawa, mazowieckie",54.13,2 ,3/5,,,,balkon,https://www.otodom.pl/pl/oferta/apartament-w-paryskim-stylu-centrum-ID4nRJX,Mazowieckie,Warszawa
Penthouse z dużym tarasem i widokiem na Warszawę,7000000.0,"ul. Grzybowska, Mirów, Wola, Warszawa, mazowieckie",198.0,4 ,> 10/22,,,,taras,https://www.otodom.pl/pl/oferta/penthouse-z-duzym-tarasem-i-widokiem-na-warszawe-ID4nsjH,Mazowieckie,Warszawa
